PosGrp,SuggestedRole,TopFeatures,Player,Squad,League,UMAP_X,UMAP_Y
GK,GK-0,"Performance_2CrdY↑, CrsPA↑, Blocks_Blocks↑, Carries_1/3↓, Performance_Fls↑",Augusto Batalla,Granada,La Liga,3.6210451126098633,4.647597312927246
GK,GK-0,"Performance_2CrdY↑, CrsPA↑, Blocks_Blocks↑, Carries_1/3↓, Performance_Fls↑",Eloy Room,Vitesse,Eredivisie,2.835907459259033,5.058294773101807
GK,GK-0,"Performance_2CrdY↑, CrsPA↑, Blocks_Blocks↑, Carries_1/3↓, Performance_Fls↑",Matteo Lovato,Torino,Serie A,3.0792860984802246,0.5852173566818237
GK,GK-0,"Performance_2CrdY↑, CrsPA↑, Blocks_Blocks↑, Carries_1/3↓, Performance_Fls↑",Mark Flekken,Brentford,Premier League,3.525052070617676,5.160556316375732
GK,GK-0,"Performance_2CrdY↑, CrsPA↑, Blocks_Blocks↑, Carries_1/3↓, Performance_Fls↑",Mio Backhaus,Volendam,Eredivisie,3.323368787765503,4.302214622497559
GK,GK-1,"Performance_PKwon↑, TO↑, Sh↑, Carries_Dis↓, Carries_Mis↓",Bruno Varela,Vitória,Primeira Liga,2.753849983215332,3.785003662109375
GK,GK-1,"Performance_PKwon↑, TO↑, Sh↑, Carries_Dis↓, Carries_Mis↓",Fernando,Almería,La Liga,3.8228328227996826,2.9978766441345215
GK,GK-1,"Performance_PKwon↑, TO↑, Sh↑, Carries_Dis↓, Carries_Mis↓",Alphonse Areola,West Ham,Premier League,3.848071813583374,1.5737183094024658
GK,GK-1,"Performance_PKwon↑, TO↑, Sh↑, Carries_Dis↓, Carries_Mis↓",Vincenzo Fiorillo,Salernitana,Serie A,3.291937828063965,1.7696800231933594
GK,GK-1,"Performance_PKwon↑, TO↑, Sh↑, Carries_Dis↓, Carries_Mis↓",Charles,Vitória,Primeira Liga,3.8803083896636963,2.1070005893707275
GK,GK-2,"Tackles_Att 3rd↑, PrgR↑, xG↑, Performance_CrdR↓, Ast_passing↓",Paulo Gazzaniga,Girona,La Liga,1.6329410076141357,3.797567844390869
GK,GK-2,"Tackles_Att 3rd↑, PrgR↑, xG↑, Performance_CrdR↓, Ast_passing↓",Bart Verbruggen,Brighton,Premier League,0.6426408886909485,4.089670181274414
GK,GK-2,"Tackles_Att 3rd↑, PrgR↑, xG↑, Performance_CrdR↓, Ast_passing↓",Alex Meret,Napoli,Serie A,1.1783734560012817,1.1657224893569946
GK,GK-2,"Tackles_Att 3rd↑, PrgR↑, xG↑, Performance_CrdR↓, Ast_passing↓",Matz Sels,Strasbourg,Ligue 1,2.8305344581604004,1.9897031784057617
GK,GK-2,"Tackles_Att 3rd↑, PrgR↑, xG↑, Performance_CrdR↓, Ast_passing↓",Pavao Pervan,Wolfsburg,Bundesliga,1.5643199682235718,2.1514840126037598
CB,CB-0,"Clr↑, Performance_Recov↓, Carries_1/3↓, PrgC↓, PrgP↓",Domingos Duarte,Getafe,La Liga,16.502859115600586,7.991498947143555
CB,CB-0,"Clr↑, Performance_Recov↓, Carries_1/3↓, PrgC↓, PrgP↓",Mason Holgate,Sheffield Utd,Premier League,16.66488265991211,5.2494354248046875
CB,CB-0,"Clr↑, Performance_Recov↓, Carries_1/3↓, PrgC↓, PrgP↓",Montassar Talbi,Lorient,Ligue 1,16.1261043548584,6.8021135330200195
CB,CB-0,"Clr↑, Performance_Recov↓, Carries_1/3↓, PrgC↓, PrgP↓",Miguel Ángel Rubio,Granada,La Liga,17.17542266845703,6.536270618438721
CB,CB-0,"Clr↑, Performance_Recov↓, Carries_1/3↓, PrgC↓, PrgP↓",Kostas Manolas,Salernitana,Serie A,16.340932846069336,8.16055679321289
CB,CB-1,"Long_Cmp↑, Expected_A-xAG↑, Total_TotDist↑, Total_PrgDist↑, Long_Att↑",Jon Pacheco,Real Sociedad,La Liga,14.737765312194824,8.373964309692383
CB,CB-1,"Long_Cmp↑, Expected_A-xAG↑, Total_TotDist↑, Total_PrgDist↑, Long_Att↑",Florian Lejeune,Rayo Vallecano,La Liga,14.612578392028809,7.078478813171387
CB,CB-1,"Long_Cmp↑, Expected_A-xAG↑, Total_TotDist↑, Total_PrgDist↑, Long_Att↑",Jorrel Hato,Ajax,Eredivisie,12.646836280822754,7.396259307861328
CB,CB-1,"Long_Cmp↑, Expected_A-xAG↑, Total_TotDist↑, Total_PrgDist↑, Long_Att↑",Robin Le Normand,Real Sociedad,La Liga,14.769109725952148,8.433605194091797
CB,CB-1,"Long_Cmp↑, Expected_A-xAG↑, Total_TotDist↑, Total_PrgDist↑, Long_Att↑",Eric Dier,Bayern Munich,Bundesliga,13.402441024780273,8.954948425292969
CB,CB-2,"Fld↑, Carries_Mis↑, xG+xAG↑, PassDead↑, G-xG↑",Emin Bayram,Westerlo,Belgian Pro League,13.623760223388672,6.285029888153076
CB,CB-2,"Fld↑, Carries_Mis↑, xG+xAG↑, PassDead↑, G-xG↑",Joey Jacobs,Almere City,Eredivisie,15.719717025756836,4.8040547370910645
CB,CB-2,"Fld↑, Carries_Mis↑, xG+xAG↑, PassDead↑, G-xG↑",Koki Machida,Union SG,Belgian Pro League,13.321551322937012,6.13450813293457
CB,CB-2,"Fld↑, Carries_Mis↑, xG+xAG↑, PassDead↑, G-xG↑",Michael Keane,Everton,Premier League,15.147725105285645,6.016176700592041
CB,CB-2,"Fld↑, Carries_Mis↑, xG+xAG↑, PassDead↑, G-xG↑",Ryan Flamingo,Utrecht,Eredivisie,14.640856742858887,5.337396144866943
FB,FB-0,"PPA↑, npxG/Sh↑, Expected_xA↑, G+A-PK↑, Touches_Att 3rd↑",Maxim De Cuyper,Club Brugge,Belgian Pro League,11.555908203125,11.698958396911621
FB,FB-0,"PPA↑, npxG/Sh↑, Expected_xA↑, G+A-PK↑, Touches_Att 3rd↑",Joakim Mæhle,Wolfsburg,Bundesliga,11.33584213256836,13.348183631896973
FB,FB-0,"PPA↑, npxG/Sh↑, Expected_xA↑, G+A-PK↑, Touches_Att 3rd↑",Ismail Jakobs,Monaco,Ligue 1,12.06490421295166,13.635601043701172
FB,FB-0,"PPA↑, npxG/Sh↑, Expected_xA↑, G+A-PK↑, Touches_Att 3rd↑",Óscar Mingueza,Celta Vigo,La Liga,11.98246955871582,12.319730758666992
FB,FB-0,"PPA↑, npxG/Sh↑, Expected_xA↑, G+A-PK↑, Touches_Att 3rd↑",Andrew Robertson,Liverpool,Premier League,11.715065956115723,11.649468421936035
FB,FB-1,"Short_Cmp↓, 1/3↓, Performance_2CrdY↓, Carries_Carries↓, Total_Cmp↓",Álex Moreno,Aston Villa,Premier League,13.658502578735352,14.664153099060059
FB,FB-1,"Short_Cmp↓, 1/3↓, Performance_2CrdY↓, Carries_Carries↓, Total_Cmp↓",Florian Miguel,OH Leuven,Belgian Pro League,11.821024894714355,17.180980682373047
FB,FB-1,"Short_Cmp↓, 1/3↓, Performance_2CrdY↓, Carries_Carries↓, Total_Cmp↓",Zeki Çelik,Roma,Serie A,12.012024879455566,14.992050170898438
FB,FB-1,"Short_Cmp↓, 1/3↓, Performance_2CrdY↓, Carries_Carries↓, Total_Cmp↓",Nicolas Cozza,Nantes,Ligue 1,12.935419082641602,16.44548225402832
FB,FB-1,"Short_Cmp↓, 1/3↓, Performance_2CrdY↓, Carries_Carries↓, Total_Cmp↓",Oskar Buur,Volendam,Eredivisie,13.128165245056152,16.04787254333496
FB,FB-2,"Dist↓, Carries_Dis↓, Int↑, Touches_Def 3rd↑, Challenges_Tkl%↑",Ricardo Rodríguez,Torino,Serie A,10.019575119018555,16.102619171142578
FB,FB-2,"Dist↓, Carries_Dis↓, Int↑, Touches_Def 3rd↑, Challenges_Tkl%↑",Thierry Correia,Valencia,La Liga,11.225689888000488,15.168761253356934
FB,FB-2,"Dist↓, Carries_Dis↓, Int↑, Touches_Def 3rd↑, Challenges_Tkl%↑",Marc Cucurella,Chelsea,Premier League,11.00520133972168,15.441847801208496
FB,FB-2,"Dist↓, Carries_Dis↓, Int↑, Touches_Def 3rd↑, Challenges_Tkl%↑",Davide Calabria,Milan,Serie A,10.554558753967285,14.988532066345215
FB,FB-2,"Dist↓, Carries_Dis↓, Int↑, Touches_Def 3rd↑, Challenges_Tkl%↑",Matheus Reis,Sporting CP,Primeira Liga,10.632823944091797,12.694175720214844
