Player,Nation,Pos,PosGrp,Squad,Age,League,MP,Starts,Min,Gls,Ast,G+A,G-PK,PK,PKatt,CrdY,CrdR,xG,npxG,xAG,npxG+xAG,PrgC,PrgP,PrgR,G+A-PK,xG+xAG,Total_Cmp,Total_Att,Total_Cmp%,Total_TotDist,Total_PrgDist,Short_Cmp,Short_Att,Short_Cmp%,Medium_Cmp,Medium_Att,Medium_Cmp%,Long_Cmp,Long_Att,Long_Cmp%,Ast_passing,xAG_passing,Expected_xA,Expected_A-xAG,KP,1/3,PPA,CrsPA,PrgP_passing,Touches_Touches,Touches_Def Pen,Touches_Def 3rd,Touches_Mid 3rd,Touches_Att 3rd,Touches_Att Pen,Touches_Live,Take-Ons_Att,Take-Ons_Succ,Take-Ons_Succ%,Take-Ons_Tkld,Take-Ons_Tkld%,Carries_Carries,Carries_TotDist,Carries_PrgDist,Carries_PrgC,Carries_1/3,Carries_CPA,Carries_Mis,Carries_Dis,Receiving_Rec,Receiving_PrgR,SCA,PassLive,PassDead,TO,Sh,Fld,Def,GCA,Tackles_Tkl,Tackles_TklW,Tackles_Def 3rd,Tackles_Mid 3rd,Tackles_Att 3rd,Challenges_Tkl,Challenges_Att,Challenges_Tkl%,Challenges_Lost,Blocks_Blocks,Blocks_Sh,Blocks_Pass,Int,Tkl+Int,Clr,Err,Gls_shooting,Sh_shooting,SoT,SoT%,G/Sh,G/SoT,Dist,FK,PK_shooting,PKatt_shooting,xG_shooting,npxG_shooting,npxG/Sh,G-xG,np:G-xG,Performance_CrdY,Performance_CrdR,Performance_2CrdY,Performance_Fls,Performance_Fld,Performance_Off,Performance_Crs,Performance_Int,Performance_TklW,Performance_PKwon,Performance_PKcon,Performance_OG,Performance_Recov,Aerial Duels_Won,Aerial Duels_Lost,Aerial Duels_Won%
Álex Moreno,ESP,DF,FB,Aston Villa,30,Premier League,21,11,1031,0.174587779,0,0.174587779,0.174587779,0,0,0.174587779,0,0.096023278,0.096023278,0.096023278,0.200775946,2.793404462,2.095053346,7.245392823,0.014839961,0.017458778,37.36178468,47.31328807,79,564.442289,139.8448109,20.51406402,23.04558681,89,14.92725509,18.33171678,81.4,1.48399612,2.618816683,56.7,0,0.096023278,0.087293889,-0.096023278,0.960232784,0.872938894,1.134820563,0.174587779,2.095053346,60.23278371,3.491755577,21.4742968,20.51406402,18.59359845,2.531522793,60.23278371,3.05528613,1.309408341,42.9,1.48399612,48.6,31.77497575,203.5693501,96.54704171,2.793404462,1.745877789,0.872938894,1.222114452,0.523763337,33.43355965,7.245392823,1.920465567,1.658583899,0,0.174587779,0.087293889,0,0,0.087293889,1.57129001,1.047526673,1.57129001,0,0,1.047526673,1.658583899,63.2,0.611057226,0.960232784,0.174587779,0.785645005,1.134820563,2.706110572,3.229873909,0,0.174587779,0.698351115,0.349175558,50,0.021823472,0.043646945,1.07371484,0,0,0,0.096023278,0.096023278,0.012221145,0.0785645,0.0785645,0.174587779,0,0,0.960232784,1.396702231,0.174587779,3.229873909,1.134820563,1.047526673,0,0,0.087293889,3.491755577,0.349175558,0.872938894,28.6
Đorđe Petrović,SRB,GK,GK,Chelsea,23,Premier League,23,22,1987,0,0,0,0,0,0,0.090588827,0,0,0,0,0,0,0.045294414,0,0,0,28.76195269,36.50729743,78.8,659.4866633,401.3990941,8.515349774,8.515349774,100,14.53950679,14.67539004,99.1,5.571212884,13.09008556,42.6,0,0,0,0,0,0.135883241,0,0,0.045294414,38.7267237,34.19728234,38.59084046,0.135883241,0,0,38.7267237,0,0,0,0,0,21.8319074,94.03120282,49.9597383,0,0,0,0.045294414,0,21.5148465,0,0.045294414,0.045294414,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.543532964,0.135883241,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.090588827,0,0,0,0.045294414,0,0,0,0,0,0,0,0.770005033,0.226472068,0,100
Aaron Wan-Bissaka,ENG,DF,FB,Manchester Utd,25,Premier League,22,20,1780,0,0.101123596,0.101123596,0,0,0,0.202247191,0,0.00505618,0.00505618,0.075842697,0.080898876,1.516853933,3.893258427,2.730337079,0.00505618,0.004044944,41.61235955,49.85393258,83.5,547.2808989,178.9382022,27.1011236,30.28651685,89.5,12.28651685,14.41011236,85.3,0.960674157,1.921348315,50,0.101123596,0.075842697,0.070786517,0.025280899,0.606741573,2.578651685,0.808988764,0.151685393,3.893258427,61.93820225,4.297752809,21.43820225,27.20224719,14.05617978,1.213483146,61.93820225,1.617977528,0.859550562,53.1,0.45505618,28.1,30.03370787,147.0842697,72.25280899,1.516853933,1.365168539,0.202247191,1.011235955,0.45505618,34.93820225,2.730337079,1.314606742,1.213483146,0.050561798,0,0,0.050561798,0,0.151685393,2.123595506,1.264044944,0.91011236,1.011235955,0.202247191,0.960674157,1.314606742,73.1,0.353932584,1.466292135,0.758426966,0.707865169,2.073033708,4.196629213,3.438202247,0.050561798,0,0.151685393,0.050561798,33.3,0,0,1.021348315,0,0,0,0.00505618,0.00505618,0.002022472,-0.00505618,-0.00505618,0.202247191,0,0,0.859550562,0.45505618,0,0.707865169,2.073033708,1.264044944,0,0.050561798,0,4.752808989,1.061797753,0.960674157,52.5
Abdoulaye Doucouré,MLI,"FW,MF",AM,Everton,30,Premier League,32,32,2629,0.239634842,0.034233549,0.273868391,0.239634842,0,0,0.239634842,0,0.30125523,0.30125523,0.099277292,0.397109167,1.882845188,3.320654241,4.792696843,0.009243058,0.01369342,23.38151388,30.57055915,76.5,335.7284138,79.72993534,13.04298212,15.50779764,84.1,8.181818182,9.859262077,83,0.958539369,2.019779384,47.5,0.034233549,0.099277292,0.051350323,-0.065043743,1.163940662,1.472042602,0.61620388,0.034233549,3.320654241,40.73792316,1.23240776,6.435907189,17.90414606,16.94560669,3.423354888,40.73792316,1.643210346,0.855838722,52.1,0.718904526,43.8,21.73830354,112.6968429,57.9231647,1.882845188,1.266641308,0.581970331,2.088246482,1.437809053,27.3868391,4.792696843,2.293647775,2.019779384,0,0,0.205401293,0.034233549,0.034233549,0.171167744,1.472042602,0.92430582,0.684670978,0.479269684,0.30810194,0.61620388,1.574743248,39.1,0.958539369,0.787371624,0.102700647,0.684670978,0.513503233,1.985545835,0.650437429,0,0.239634842,1.608976797,0.718904526,44.7,0.005135032,0.011297071,0.417649296,0,0,0,0.30125523,0.30125523,0.00684671,-0.061620388,-0.061620388,0.239634842,0,0,1.814378091,0.273868391,0.718904526,0.890072271,0.513503233,0.92430582,0,0.034233549,0,4.929631038,0.821605173,1.369341955,37.5
Adam Smith,ENG,DF,FB,Bournemouth,32,Premier League,28,25,2150,0,0.08372093,0.08372093,0,0,0,0.251162791,0,0.004186047,0.004186047,0.054418605,0.058604651,1.004651163,3.725581395,1.172093023,0.003348837,0.002511628,32.73488372,42.90697674,76.3,532.5488372,218.7209302,16.61860465,18.54418605,89.6,13.60465116,16.78604651,81,2.134883721,5.902325581,36.2,0.08372093,0.054418605,0.071162791,0.029302326,0.711627907,2.427906977,0.962790698,0.711627907,3.725581395,51.44651163,3.851162791,16.91162791,22.47906977,12.34883721,0.460465116,51.44651163,0.627906977,0.16744186,26.7,0.334883721,53.3,21.80930233,102.7674419,42.78139535,1.004651163,0.920930233,0.125581395,0.586046512,0.293023256,24.27906977,1.172093023,1.297674419,1.088372093,0.16744186,0,0,0.041860465,0,0.209302326,1.548837209,0.962790698,0.753488372,0.460465116,0.334883721,0.795348837,1.63255814,48.7,0.837209302,1.172093023,0.460465116,0.711627907,0.879069767,2.427906977,2.595348837,0,0,0.08372093,0,0,0,0,1.126046512,0,0,0,0.004186047,0.004186047,0.001255814,-0.004186047,-0.004186047,0.251162791,0,0,1.255813953,0.920930233,0.041860465,1.63255814,0.879069767,0.962790698,0,0.08372093,0,3.851162791,0.753488372,0.920930233,45
Adam Webster,ENG,DF,CB,Brighton,28,Premier League,15,13,1144,0,0,0,0,0,0,0.157342657,0,0.031468531,0.031468531,0.007867133,0.047202797,1.258741259,6.293706294,0.157342657,0,0.003933566,78.43531469,86.22377622,91,1332.534965,459.2832168,33.67132867,36.34615385,92.6,38.94230769,41.61713287,93.6,4.405594406,6.215034965,70.9,0,0.007867133,0.023601399,-0.007867133,0.393356643,7.237762238,0.314685315,0,6.293706294,94.48426573,8.339160839,38.94230769,49.16958042,6.765734266,1.101398601,94.48426573,0.157342657,0,0,0.157342657,100,64.03846154,320.4283217,185.4283217,1.258741259,1.258741259,0,0.393356643,0.157342657,71.04020979,0.157342657,1.101398601,1.022727273,0,0,0.078671329,0,0,0,1.101398601,0.944055944,0.629370629,0.393356643,0.078671329,0.472027972,1.416083916,33.3,0.944055944,1.258741259,0.944055944,0.314685315,1.258741259,2.36013986,3.382867133,0.078671329,0,0.629370629,0,0,0,0,0.778846154,0,0,0,0.031468531,0.031468531,0.003933566,-0.031468531,-0.031468531,0.157342657,0,0,0.708041958,0.236013986,0,0.078671329,1.258741259,0.944055944,0,0,0.078671329,4.956293706,2.596153846,1.022727273,71.7
Adam Wharton,ENG,MF,DM,Crystal Palace,19,Premier League,16,15,1297,0,0.208172706,0.208172706,0,0,0,0.138781804,0,0.020817271,0.020817271,0.166538165,0.194294526,0.971472629,5.481881264,0.693909021,0.014572089,0.013184271,32.19737857,41.35697764,77.9,561.4417887,172.5057826,14.50269854,16.93138011,85.7,13.80878951,16.23747109,85,3.122590594,5.551272167,56.3,0.208172706,0.166538165,0.104086353,0.041634541,1.457208944,3.538936006,1.110254433,0.208172706,5.481881264,51.48804934,2.01233616,9.922898998,29.56052429,12.69853508,0.277563608,51.48804934,0.485736315,0.208172706,42.9,0.138781804,28.6,24.00925212,99.9922899,50.16962221,0.971472629,1.595990748,0,0.832690825,0.832690825,31.15651503,0.693909021,2.567463377,2.081727062,0.485736315,0,0,0,0,0.34695451,3.3307633,2.220508867,1.249036237,1.526599846,0.555127217,1.595990748,3.191981496,50,1.595990748,1.179645335,0.208172706,0.971472629,1.387818042,4.718581342,1.66538165,0.069390902,0,0.693909021,0.069390902,10,0,0,1.67925983,0,0,0,0.020817271,0.020817271,0.002081727,-0.020817271,-0.020817271,0.138781804,0,0,1.249036237,1.457208944,0,1.734772552,1.387818042,2.220508867,0,0,0,5.273708558,0.485736315,0.832690825,36.8
Albert Sambi Lokonga,BEL,MF,DM,Luton Town,23,Premier League,17,16,1303,0.069071374,0.207214121,0.276285495,0.069071374,0,0,0.276285495,0,0.041442824,0.041442824,0.096699923,0.138142748,2.003069839,4.97313891,0.897927859,0.019339985,0.009669992,46.20874904,52.90867229,87.3,766.6231773,229.1788181,22.03376823,24.03683807,91.7,17.47505756,19.68534152,88.8,3.798925556,5.249424405,72.4,0.207214121,0.096699923,0.055257099,0.110514198,0.621642364,4.696853415,0.414428243,0.069071374,4.97313891,62.095165,3.729854183,15.40291635,35.43361474,11.74213354,0.759785111,62.095165,1.519570223,0.759785111,50,0.483499616,31.8,36.46968534,209.009977,117.8357636,2.003069839,1.312356101,0.138142748,0.828856485,0.759785111,41.23561013,0.897927859,1.864927091,1.519570223,0,0,0.069071374,0.207214121,0.069071374,0.207214121,2.003069839,1.243284728,0.966999233,0.828856485,0.207214121,1.174213354,1.65771297,70.8,0.483499616,1.588641596,0.897927859,0.690713738,0.759785111,2.76285495,0.966999233,0,0.069071374,0.55257099,0.138142748,25,0.008979279,0.034535687,1.443591711,0,0,0,0.041442824,0.041442824,0.00552571,0.02762855,0.02762855,0.276285495,0,0,1.243284728,1.864927091,0,0.897927859,0.759785111,1.243284728,0,0,0,4.42056792,1.036070606,0.621642364,62.5
Alejandro Garnacho,ARG,FW,WF,Manchester Utd,19,Premier League,36,30,2565,0.245614035,0.140350877,0.385964912,0.245614035,0,0,0.140350877,0,0.294736842,0.29122807,0.178947368,0.470175439,6.245614035,2.175438596,9.859649123,0.013684211,0.016491228,23.68421053,31.61403509,74.9,325.2280702,47.89473684,14.80701754,17.75438596,83.4,6.631578947,8.175438596,81.1,1.192982456,2.210526316,54,0.140350877,0.178947368,0.101754386,-0.038596491,1.614035088,0.912280702,0.771929825,0.140350877,2.175438596,46.03508772,0.456140351,6.315789474,14.14035088,26,8.701754386,46.03508772,4.596491228,1.684210526,36.6,2.210526316,48.1,32.98245614,281.8947368,147.754386,6.245614035,2.912280702,3.578947368,2.421052632,1.719298246,35.33333333,9.859649123,4.175438596,2.807017544,0,0.456140351,0.456140351,0.421052632,0.035087719,0.526315789,0.771929825,0.526315789,0.245614035,0.210526316,0.315789474,0.421052632,1.578947368,26.7,1.157894737,0.912280702,0.070175439,0.842105263,0.631578947,1.403508772,0.631578947,0,0.245614035,3.50877193,0.947368421,27,0.00245614,0.009122807,0.554385965,0,0,0,0.294736842,0.29122807,0.002807018,-0.049122807,-0.045614035,0.140350877,0,0,0.701754386,1.894736842,0.526315789,2.035087719,0.631578947,0.526315789,0.070175439,0,0,3.719298246,0.210526316,0.877192982,19.4
Alex Iwobi,NGA,"FW,MF",WF,Fulham,27,Premier League,30,25,2192,0.205291971,0.082116788,0.287408759,0.205291971,0,0,0.082116788,0,0.217609489,0.217609489,0.192974453,0.410583942,4.475364964,6.035583942,7.185218978,0.011906934,0.016833942,33.70894161,43.15237226,78.1,556.5875912,175.2372263,16.42335766,18.51733577,88.7,13.3439781,16.54653285,80.6,2.709854015,4.844890511,55.9,0.082116788,0.192974453,0.164233577,-0.110857664,2.011861314,3.448905109,1.888686131,0.328467153,6.035583942,52.63686131,0.780109489,7.801094891,24.01916058,22.04835766,3.325729927,52.63686131,2.95620438,1.519160584,51.4,1.313868613,44.4,35.55656934,240.4379562,122.3129562,4.475364964,3.284671533,1.108576642,2.052919708,1.149635036,41.22262774,7.185218978,4.229014599,3.572080292,0,0.246350365,0.369525547,0,0.041058394,0.410583942,1.190693431,0.739051095,0.49270073,0.615875912,0.082116788,0.49270073,1.026459854,48,0.533759124,0.656934307,0,0.656934307,0.574817518,1.765510949,0.369525547,0,0.205291971,2.093978102,0.739051095,35.3,0.004105839,0.01149635,0.759580292,0,0,0,0.217609489,0.217609489,0.004105839,-0.012317518,-0.012317518,0.082116788,0,0,0.49270073,0.205291971,0.205291971,2.46350365,0.574817518,0.739051095,0,0,0,5.953467153,0.246350365,0.780109489,24
