Player,Squad,League,Pos,PosGrp,RoleCluster,SuggestedRole,TopFeatures,UMAP_X,UMAP_Y
Aaron Ramsdale,Arsenal,Premier League,GK,GK,2,GK-Finisher,"Tackles_Att 3rd↑, PrgR↑, xG↑, Performance_CrdR↓, Ast_passing↓",1.3000634,1.8955288
Aitor Fernández,Osasuna,La Liga,GK,GK,1,GK-Hybrid,"Performance_PKwon↑, TO↑, Sh↑, Carries_Dis↓, Carries_Mis↓",3.22829,2.8324046
Alaa Bellaarouch,Strasbourg,Ligue 1,GK,GK,1,GK-Hybrid,"Performance_PKwon↑, TO↑, Sh↑, Carries_Dis↓, Carries_Mis↓",2.1984394,1.7611612
Alban Lafont,Nantes,Ligue 1,GK,GK,2,GK-Finisher,"Tackles_Att 3rd↑, PrgR↑, xG↑, Performance_CrdR↓, Ast_passing↓",2.0327096,2.8913898
Alessandro Sorrentino,Monza,Serie A,GK,GK,2,GK-Finisher,"Tackles_Att 3rd↑, PrgR↑, xG↑, Performance_CrdR↓, Ast_passing↓",1.0691028,1.3575377
Alex Meret,Napoli,Serie A,GK,GK,2,GK-Finisher,"Tackles_Att 3rd↑, PrgR↑, xG↑, Performance_CrdR↓, Ast_passing↓",1.1783735,1.1657225
Alexander Meyer,Dortmund,Bundesliga,GK,GK,0,"GK-Crosser, Blocker","Performance_2CrdY↑, CrsPA↑, Blocks_Blocks↑, Carries_1/3↓, Performance_Fls↑",1.3881162,4.7659087
Alexander Nübel,Stuttgart,Bundesliga,GK,GK,2,GK-Finisher,"Tackles_Att 3rd↑, PrgR↑, xG↑, Performance_CrdR↓, Ast_passing↓",1.4197007,3.6953263
Alexandre Oukidja,Metz,Ligue 1,GK,GK,1,GK-Hybrid,"Performance_PKwon↑, TO↑, Sh↑, Carries_Dis↓, Carries_Mis↓",3.0109067,3.4209807
Alisson,Liverpool,Premier League,GK,GK,2,GK-Finisher,"Tackles_Att 3rd↑, PrgR↑, xG↑, Performance_CrdR↓, Ast_passing↓",0.8094528,3.4327276
Alphonse Areola,West Ham,Premier League,GK,GK,1,GK-Hybrid,"Performance_PKwon↑, TO↑, Sh↑, Carries_Dis↓, Carries_Mis↓",3.8480718,1.5737183
